"","hgnc_symbol","ensembl_gene_id","snp","association_id","pvalue","standard_error","beta_number","range","traits","efo_id"
"384","CD36","ENSG00000135218","rs28832309","38496969",2e-21,NA,NA,NA,"HDL cholesterol change measurement, physical activity","EFO_0007805, EFO_0003940"
"385","CD36","ENSG00000135218","rs1049673","62740256",4e-74,0.001893,0.034498,"[0.031-0.038]","red blood cell distribution width","EFO_0005192"
"386","CD36","ENSG00000135218","rs139811700","36507759",8e-11,NA,NA,NA,"erythrocyte count","EFO_0004305"
"387","CD5L","ENSG00000073754","rs2065883","47657200",4e-21,0.06966,0.65791,"[0.52-0.79]","blood protein measurement","EFO_0007937"
"388","CD5L","ENSG00000073754","rs77346326","61987447",1e-06,NA,136,"[81-191]","adipose tissue measurement","EFO_0004764"
"389","CD5L","ENSG00000073754","rs2050568","24673878",2e-10,NA,NA,NA,"multiple sclerosis","EFO_0003885"
"390","CD5L","ENSG00000073754","rs58215884",NA,NA,NA,NA,NA,NA,NA
"391","CD5L","ENSG00000073754","rs2765496","63148965",2e-82,0.023776224,0.471012,"[0.42-0.52]","blood protein measurement","EFO_0007937"
"392","CD5L","ENSG00000073754","rs4971155","31395157",6e-26,0.02,0.26,"[0.22-0.3]","blood protein measurement","EFO_0007937"
"393","CD5L","ENSG00000073754","rs6427401","63151404",3e-30,0.024451505,0.28259385,"[0.23-0.33]","blood protein measurement","EFO_0007937"
"394","CD5L","ENSG00000073754","rs114458961","35673941",3e-08,0.01381,NA,NA,"DNA methylation","GO_0006306"
"395","CD5L","ENSG00000073754","rs2765493","41451906",4e-06,0.079,0.374,"[0.22-0.53]","eye colour measurement","EFO_0009764"
"396","CD84","ENSG00000066294","rs3795324","15959694",9e-07,0.031,0.15,"[0.089-0.211]","Moderate albuminuria","HP_0012594"
"397","CD84","ENSG00000066294","rs12733256","62497143",7e-11,NA,NA,NA,"eosinophil count","EFO_0004842"
"398","CD84","ENSG00000066294","rs12757461","36485178",2e-11,NA,NA,NA,"waist-hip ratio","EFO_0004343"
"399","CD84","ENSG00000066294","rs1265883","30670",2e-18,NA,NA,"[1.25-1.43]","Graves disease","EFO_0004237"
"400","CD84","ENSG00000066294","rs6427528","33562",2e-06,NA,NA,NA,"response to tnf antagonist","EFO_0004653"
"401","CD84","ENSG00000066294","rs16832015","24653",2e-06,NA,NA,NA,"neuropsychological test","EFO_0003926"
"402","CD84","ENSG00000066294","rs10556717","64200261",3e-13,0.002225142,0.01626192,"[0.012-0.021]","eosinophil count","EFO_0004842"
"403","CD84","ENSG00000066294","rs11583732","24344748",9e-07,0.00333916,0.0163733,"[0.0098-0.0229]","mosquito bite reaction itch intensity measurement, mosquito bite reaction size measurement","EFO_0008377, EFO_0008378"
"404","CD84","ENSG00000066294","rs11265461","24303441",2e-08,0.00387669,0.0216092,"[0.014-0.029]","mosquito bite reaction itch intensity measurement","EFO_0008377"
"405","CD84","ENSG00000066294","rs11291564","31390078",3e-12,0.03,0.2,"[0.14-0.26]","blood protein measurement","EFO_0007937"
"406","CD84","ENSG00000066294","rs12026490","64639499",1e-12,NA,NA,"[0.75-0.85]","rheumatoid arthritis","EFO_0000685"
"407","CD84","ENSG00000066294","rs11265449","36516405",1e-07,NA,NA,NA,"Eczema","HP_0000964"
"408","CD84","ENSG00000066294","rs117201373","64718658",3e-13,NA,NA,"[1.409976234-1.815975894]","Graves disease","EFO_0004237"
"409","CD84","ENSG00000066294","rs148363003","71351037",5e-10,NA,NA,"[1.39-1.89]","rheumatoid arthritis","EFO_0000685"
"410","CD84","ENSG00000066294","rs1748512","63158665",5e-07,0.029293323,0.14709434,"[0.09-0.205]","blood protein measurement","EFO_0007937"
"411","CD84","ENSG00000066294","rs11265402","36472068",1e-07,NA,NA,NA,"eosinophil count","EFO_0004842"
"412","CRP","ENSG00000132693","rs12755606","17459407",4e-120,NA,NA,NA,"c-reactive protein measurement, triglyceride measurement","EFO_0004458, EFO_0004530"
"413","CRP","ENSG00000132693","rs34197548","21536056",9e-06,0.0657,0.2938,"[0.17-0.42]","growth-regulated alpha protein measurement","EFO_0008146"
"414","CRP","ENSG00000132693","rs2808630","5862",7e-06,NA,NA,"[1.10-1.35]","lung carcinoma","EFO_0001071"
"415","CRP","ENSG00000132693","rs16827466","23440",4e-73,0.023,0.4199,"[0.37-0.46]","c-reactive protein measurement","EFO_0004458"
"416","CRP","ENSG00000132693","rs12068753","10071071",1e-13,0.52,3.97,"[2.95-4.99]","c-reactive protein measurement, mucocutaneous lymph node syndrome","EFO_0004458, EFO_0004246"
"417","CRP","ENSG00000132693","rs188600252","17417115",1e-06,NA,0.14,NA,"femoral neck bone mineral density","EFO_0007785"
"418","CRP","ENSG00000132693","rs876538","61692070",2e-06,NA,NA,"[1.09-1.2]","attention deficit hyperactivity disorder","EFO_0003888"
"419","CRP","ENSG00000132693","rs140351080","21540676",5e-06,0.0211,0.0978,"[0.056-0.139]","CCL2 measurement","EFO_0004749"
"420","CRP","ENSG00000132693","rs116073407","61998332",9e-16,0.00879446,0.0706692,"[0.053-0.088]","c-reactive protein measurement","EFO_0004458"
"421","CRP","ENSG00000132693","rs7551731","41430468",0,0.004,0.186,"[0.18-0.19]","c-reactive protein measurement","EFO_0004458"
"422","CRP","ENSG00000132693","rs2592902","47262312",8e-102,0.008551968,0.1832233,"[0.17-0.2]","c-reactive protein measurement","EFO_0004458"
"423","CRP","ENSG00000132693","rs11265260","47262244",2e-23,0.01651035,0.1648213,"[0.13-0.2]","c-reactive protein measurement","EFO_0004458"
"424","CRP","ENSG00000132693","rs3091244","41430683",0,0.004,0.169,"[0.16-0.18]","c-reactive protein measurement","EFO_0004458"
"425","CRP","ENSG00000132693","rs72700609","31398479",5e-90,0.04,0.75,"[0.67-0.83]","blood protein measurement","EFO_0007937"
"426","CRP","ENSG00000132693","rs12093699","47262260",7e-15,0.008936312,0.06949826,"[0.052-0.087]","c-reactive protein measurement","EFO_0004458"
"427","CRP","ENSG00000132693","rs1130864",NA,NA,NA,NA,NA,NA,NA
"428","CRP","ENSG00000132693","rs79551159","47447690",8e-07,NA,1.37,"[0.98-2.27]","c-reactive protein measurement","EFO_0004458"
"429","CRP","ENSG00000132693","rs3093059","17012",4e-21,NA,0.161,"[0.13-0.19]","c-reactive protein measurement","EFO_0004458"
"430","CRP","ENSG00000132693","rs149520992","41430664",2e-13,0.034,0.252,"[0.19-0.32]","c-reactive protein measurement","EFO_0004458"
"431","CRP","ENSG00000132693","rs79828990","34840062",7e-06,0.0075664,0.034045,"[0.019-0.049]","reaction time measurement","EFO_0008393"
"432","CRP","ENSG00000132693","rs3093068","31588535",1e-64,0.007486,0.1272,"[0.11-0.14]","c-reactive protein measurement","EFO_0004458"
"433","CRP","ENSG00000132693","rs72698571","41430669",4e-66,0.008,0.129,"[0.11-0.14]","c-reactive protein measurement","EFO_0004458"
"434","CRP","ENSG00000132693","rs2794519","31588558",2e-07,0.006599,0.03446,"[0.022-0.047]","c-reactive protein measurement","EFO_0004458"
"435","CRP","ENSG00000132693","rs61821567","61998328",2e-20,0.00590248,0.0548272,"[0.043-0.066]","c-reactive protein measurement","EFO_0004458"
"436","CRP","ENSG00000132693","rs78767552","62312650",3e-10,NA,5.907,NA,"protein measurement","EFO_0004747"
"437","CRP","ENSG00000132693","rs1800947","41430679",2e-200,0.01,0.298,"[0.28-0.32]","c-reactive protein measurement","EFO_0004458"
"438","CRP","ENSG00000132693","rs4131568","41430697",6e-107,0.004,0.096,"[0.088-0.104]","c-reactive protein measurement","EFO_0004458"
"439","CRP","ENSG00000132693","rs4255379","61998344",2e-145,0.00204484,0.0525035,"[0.048-0.057]","c-reactive protein measurement","EFO_0004458"
"440","CRP","ENSG00000132693","rs12749227","41436230",1e-180,NA,0.152,NA,"c-reactive protein measurement","EFO_0004458"
"441","CRP","ENSG00000132693","rs4287174","63154701",2e-14,0.026940484,0.20718846,"[0.15-0.26]","blood protein measurement","EFO_0007937"
"442","CRP","ENSG00000132693","rs2246469","41430688",6e-27,0.004,0.046,"[0.038-0.054]","c-reactive protein measurement","EFO_0004458"
"443","CRP","ENSG00000132693","rs7553007","47262376",7e-107,0.008738741,0.1918928,"[0.17-0.21]","c-reactive protein measurement","EFO_0004458"
"444","CRP","ENSG00000132693","rs10908741","62071803",5e-08,NA,NA,NA,"neurofibrillary tangles measurement","EFO_0006797"
"445","CRP","ENSG00000132693","rs10494326","47262228",2e-109,0.0175228,0.3896071,"[0.36-0.42]","c-reactive protein measurement","EFO_0004458"
"446","CRP","ENSG00000132693","rs2808634","24519",3e-10,0.024,0.153,"[0.11-0.20]","c-reactive protein measurement","EFO_0004458"
"447","CRP","ENSG00000132693","rs80272044","61998340",6e-144,0.00859816,0.219651,"[0.2-0.24]","c-reactive protein measurement","EFO_0004458"
"448","CRP","ENSG00000132693","rs16842559","47262280",4e-25,0.01857853,0.1924735,"[0.16-0.23]","c-reactive protein measurement","EFO_0004458"
"449","CRP","ENSG00000132693","rs726640","47262364",6e-117,0.01801565,0.4141669,"[0.38-0.45]","c-reactive protein measurement","EFO_0004458"
"450","CRP","ENSG00000132693","rs58240276","31395728",3e-92,0.03,0.61,"[0.55-0.67]","blood protein measurement","EFO_0007937"
"451","CRP","ENSG00000132693","rs4233356","18681",9e-06,NA,NA,"[1.64-3.84]","interstitial lung disease","EFO_0004244"
"452","CRP","ENSG00000132693","rs12029262","41430674",3e-72,0.007,0.129,"[0.12-0.14]","c-reactive protein measurement","EFO_0004458"
"453","CRP","ENSG00000132693","rs1341665","47262276",1e-97,0.008762981,0.1837559,"[0.17-0.2]","c-reactive protein measurement","EFO_0004458"
"454","CRP","ENSG00000132693","rs1205","64698603",2e-157,0.0046,0.123,"[0.11-0.13]","c-reactive protein measurement","EFO_0004458"
"455","CRP","ENSG00000132693","rs876537","47262400",3e-100,0.008670307,0.1842309,"[0.17-0.2]","c-reactive protein measurement","EFO_0004458"
"456","EFNA3","ENSG00000143590","rs11807418","56269823",4e-08,0.0023,0.0142,"[0.0097-0.0187]","low density lipoprotein cholesterol measurement","EFO_0004611"
"457","EFNA3","ENSG00000143590","rs11264330","28911",5e-06,NA,0.04,NA,"CCL2 measurement","EFO_0004749"
"458","EFNA3","ENSG00000143590","rs12142017","55715751",2e-15,NA,NA,NA,"BMI-adjusted waist-hip ratio","EFO_0007788"
"459","EFNA3","ENSG00000143590","rs7366355","56246036",1e-08,NA,NA,"[1.04-1.08]","cataract","EFO_0001059"
"460","EFNA3","ENSG00000143590","rs10908458","19564",2e-15,NA,3.7,"[3.10-4.20]","serum gamma-glutamyl transferase measurement","EFO_0004532"
"461","EFNA3","ENSG00000143590","rs61811931","77546282",2e-06,NA,NA,NA,"Bell's palsy","EFO_0007167"
"462","EFNA3","ENSG00000143590","rs141845046","62273621",8e-18,0.006,0.048,"[0.036-0.06]","body mass index","EFO_0004340"
"463","EFNA3","ENSG00000143590","rs11264327","35113217",7e-09,0.00171,0.00987,"[0.0065-0.0132]","albuminuria","EFO_0004285"
"464","EFNA3","ENSG00000143590","rs4845402","61689094",5e-13,NA,NA,NA,"Abnormality of refraction","HP_0000539"
"465","EFNA3","ENSG00000143590","rs113261881","56280290",1e-09,0.00396137,0.0240304,"[0.016-0.032]","high density lipoprotein cholesterol measurement","EFO_0004612"
"466","EFNA3","ENSG00000143590","rs2242194","15059587",2e-06,NA,NA,NA,"schizophrenia","EFO_0000692"
"467","EFNA3","ENSG00000143590","rs77548871","63319879",7e-38,0.0047,0.0602,"[0.051-0.069]","appendicular lean mass","EFO_0004980"
"468","EFNA3","ENSG00000143590","rs45444697","31394744",8e-15,0.03,0.23,"[0.17-0.29]","blood protein measurement","EFO_0007937"
"469","EFNA3","ENSG00000143590","rs4971100","64651198",1e-82,0.00187,0.036,"[0.032-0.04]","urate measurement","EFO_0004531"
"470","EFNA3","ENSG00000143590","rs4971092","64719840",1e-08,NA,NA,"[0.590822946283968-0.773640360594401]","gastric carcinoma","EFO_0000178"
"471","EFNA3","ENSG00000143590","rs76735429","35673078",4e-09,0.01661,NA,NA,"DNA methylation","GO_0006306"
"472","EFNA3","ENSG00000143590","rs11264341","26854",6e-19,0.006,0.05,"[0.038-0.062]","urate measurement","EFO_0004531"
"473","EFNA3","ENSG00000143590","rs4971089","62018570",2e-25,0.0638,0.664,"[0.54-0.79]","PR interval","EFO_0004462"
"474","EFNA3","ENSG00000143590","rs12129003","62499722",2e-17,NA,NA,NA,"platelet count","EFO_0004309"
"475","EFNA3","ENSG00000143590","rs71628645","36506072",5e-10,NA,NA,NA,"erythrocyte count","EFO_0004305"
"476","EFNA3","ENSG00000143590","rs11264339","47486834",3e-13,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"477","EFNA3","ENSG00000143590","rs35749011","55249484",2e-70,0.0342,0.6068,"[0.54-0.67]","parkinson's disease","EFO_0002508"
"478","EFNA3","ENSG00000143590","rs4845703","55715867",4e-12,NA,NA,NA,"BMI-adjusted waist-hip ratio","EFO_0007788"
"479","EFNA3","ENSG00000143590","rs4971091","40900550",4e-11,NA,0.01288,NA,"body fat distribution","EFO_0004341"
"480","EFNA3","ENSG00000143590","rs4971099","47429833",7e-15,0.0027,0.021,"[0.016-0.026]","dental caries, dentures","EFO_0003819, EFO_0010078"
"481","EFNA3","ENSG00000143590","rs57742792","55309423",4e-11,NA,0.01,NA,"optic disc size measurement","EFO_0004832"
"482","EFNA3","ENSG00000143590","rs34455078","49506134",6e-06,0.042001776,0.09246136,"[0.01-0.175]","cognitive function measurement","EFO_0008354"
"483","EFNA3","ENSG00000143590","rs4971079","24297561",3e-10,NA,NA,NA,"ankylosing spondylitis, crohn's disease, psoriasis, sclerosing cholangitis, ulcerative colitis","EFO_0003898, EFO_0000384, EFO_0000676, EFO_0004268, EFO_0000729"
"484","EFNA3","ENSG00000143590","rs4971059","47486834",3e-13,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"485","EFNA3","ENSG00000143590","rs11264296","64200257",9e-10,0.0022491175,0.0137743475,"[0.0094-0.0182]","eosinophil count","EFO_0004842"
"486","EFNA3","ENSG00000143590","rs2242195","36058678",1e-08,NA,NA,NA,"body mass index","EFO_0004340"
"487","EFNA3","ENSG00000143590","rs72702268","63319807",4e-17,0.0063,0.0531,"[0.041-0.065]","appendicular lean mass","EFO_0004980"
"488","EFNA3","ENSG00000143590","rs12904","64675961",1e-30,NA,11.5,NA,"serum alanine aminotransferase measurement","EFO_0004735"
"489","EFNA3","ENSG00000143590","rs4460629","25389601",4e-14,0.018,0.136,"[0.10-0.17]","magnesium measurement","EFO_0004845"
"490","EFNA3","ENSG00000143590","rs74520550","41136945",1e-32,NA,NA,NA,"body height","EFO_0004339"
"491","EFNA3","ENSG00000143590","rs113405739","64194681",4e-24,0.0066370904,0.06720668,"[0.054-0.08]","hematocrit","EFO_0004348"
"492","EFNA3","ENSG00000143590","rs6676150","47759570",5e-11,0.054,0.356,"[0.25-0.46]","glomerular filtration rate","EFO_0005208"
"493","EFNA3","ENSG00000143590","rs11264323","64398848",2e-11,0.0023098993,0.015460927,"[0.011-0.02]","platelet crit","EFO_0007985"
"494","EFNA3","ENSG00000143590","rs4390169","36095470",4e-15,NA,NA,NA,"hair colour measurement","EFO_0007822"
"495","EFNA3","ENSG00000143590","rs3766918",NA,NA,NA,NA,NA,NA,NA
"496","EFNA3","ENSG00000143590","rs4246529","47885662",2e-08,0.0138,0.0775,"[0.05-0.105]","urate measurement","EFO_0004531"
"497","EFNA3","ENSG00000143590","rs34257409","47785512",2e-15,0.0020197,0.0160895,"[0.012-0.02]","urinary albumin to creatinine ratio","EFO_0007778"
"498","EFNA3","ENSG00000143590","rs140676308","55314420",8e-11,0.0199942,0.130478,"[0.091-0.17]","appendicular lean mass","EFO_0004980"
"499","EFNA3","ENSG00000143590","rs11581730","30561254",3e-17,0.036,0.306,"[0.24-0.38]","digit length ratio","EFO_0004841"
"500","EFNA3","ENSG00000143590","rs569036944","63126487",1e-08,0.034,0.188,"[0.12-0.25]","HbA1c measurement","EFO_0004541"
"501","EFNA3","ENSG00000143590","rs11264302","64668469",3e-08,0.00125682,0.00705795,"[0.0046-0.0095]","gait measurement","EFO_0007680"
"502","EFNA3","ENSG00000143590","rs11589479","36157067",3e-11,0.0025641494,0.01709262,"[0.012-0.022]","risk-taking behaviour","EFO_0008579"
"503","EFNA3","ENSG00000143590","rs11264322","63103581",7e-07,0.002,0.01,"[0.0061-0.0139]","vitamin D measurement","EFO_0004631"
"504","EFNA3","ENSG00000143590","rs2070803","47886152",2e-60,0.0033,0.0542,"[0.048-0.061]","urate measurement","EFO_0004531"
"505","EFNA3","ENSG00000143590","rs147847496","64606631",5e-11,NA,NA,"[1.11-1.22]","prostate carcinoma","EFO_0001663"
"506","EFNA3","ENSG00000143590","rs4971088","53690162",1e-08,NA,NA,NA,"brain volume measurement","EFO_0006930"
"507","EFNA3","ENSG00000143590","rs4440846","45188212",4e-07,0.13,0.64,"[0.39-0.89]","sensory perception of sweet taste","GO_0050916"
"508","EFNA3","ENSG00000143590","rs11264303","64197354",1e-10,0.0022150935,0.014309819,"[0.01-0.0187]","eosinophil percentage of leukocytes","EFO_0007991"
"509","EFNA3","ENSG00000143590","rs4745","63421861",7e-13,0.00555835,0.0396682,"[0.029-0.051]","electrocardiography","EFO_0004327"
"510","EFNA3","ENSG00000143590","rs905938","47690998",2e-36,0.002,0.025,"[0.021-0.029]","BMI-adjusted waist-hip ratio","EFO_0007788"
"511","EFNA3","ENSG00000143590","rs150138294","55715746",2e-17,NA,NA,NA,"BMI-adjusted waist-hip ratio","EFO_0007788"
"512","EFNA3","ENSG00000143590","rs141942982","41133867",1e-20,0.0039,0.0362,"[0.029-0.044]","FEV/FEC ratio","EFO_0004713"
"513","EFNA3","ENSG00000143590","rs7525164","64335711",6e-21,0.0065896413,0.061924275,"[0.049-0.075]","erythrocyte count","EFO_0004305"
"514","EFNA3","ENSG00000143590","rs10908454","63106389",2e-07,0.00203689,0.0106306,"[0.0066-0.0146]","vitamin D measurement","EFO_0004631"
"515","EFNA3","ENSG00000143590","rs1870940","63824425",5e-17,0.00316285,0.0253915,"[0.019-0.032]","testosterone measurement","EFO_0004908"
"516","EFNA3","ENSG00000143590","rs56103503","64606626",2e-14,NA,NA,"[1.04-1.07]","prostate carcinoma","EFO_0001663"
"517","EFNA4","ENSG00000243364","rs11807418","56269823",4e-08,0.0023,0.0142,"[0.0097-0.0187]","low density lipoprotein cholesterol measurement","EFO_0004611"
"518","EFNA4","ENSG00000243364","rs11264330","28911",5e-06,NA,0.04,NA,"CCL2 measurement","EFO_0004749"
"519","EFNA4","ENSG00000243364","rs12142017","55715751",2e-15,NA,NA,NA,"BMI-adjusted waist-hip ratio","EFO_0007788"
"520","EFNA4","ENSG00000243364","rs7366355","56246036",1e-08,NA,NA,"[1.04-1.08]","cataract","EFO_0001059"
"521","EFNA4","ENSG00000243364","rs10908458","19564",2e-15,NA,3.7,"[3.10-4.20]","serum gamma-glutamyl transferase measurement","EFO_0004532"
"522","EFNA4","ENSG00000243364","rs61811931","77546282",2e-06,NA,NA,NA,"Bell's palsy","EFO_0007167"
"523","EFNA4","ENSG00000243364","rs141845046","62273621",8e-18,0.006,0.048,"[0.036-0.06]","body mass index","EFO_0004340"
"524","EFNA4","ENSG00000243364","rs11264327","35113217",7e-09,0.00171,0.00987,"[0.0065-0.0132]","albuminuria","EFO_0004285"
"525","EFNA4","ENSG00000243364","rs4845402","61689094",5e-13,NA,NA,NA,"Abnormality of refraction","HP_0000539"
"526","EFNA4","ENSG00000243364","rs113261881","56280290",1e-09,0.00396137,0.0240304,"[0.016-0.032]","high density lipoprotein cholesterol measurement","EFO_0004612"
"527","EFNA4","ENSG00000243364","rs2242194","15059587",2e-06,NA,NA,NA,"schizophrenia","EFO_0000692"
"528","EFNA4","ENSG00000243364","rs77548871","63319879",7e-38,0.0047,0.0602,"[0.051-0.069]","appendicular lean mass","EFO_0004980"
"529","EFNA4","ENSG00000243364","rs45444697","31394744",8e-15,0.03,0.23,"[0.17-0.29]","blood protein measurement","EFO_0007937"
"530","EFNA4","ENSG00000243364","rs76735429","35673078",4e-09,0.01661,NA,NA,"DNA methylation","GO_0006306"
"531","EFNA4","ENSG00000243364","rs12129003","62499722",2e-17,NA,NA,NA,"platelet count","EFO_0004309"
"532","EFNA4","ENSG00000243364","rs8191981","62511024",6e-54,0.012084,0.187007,"[0.16-0.21]","eosinophil count","EFO_0004842"
"533","EFNA4","ENSG00000243364","rs71628645","36506072",5e-10,NA,NA,NA,"erythrocyte count","EFO_0004305"
"534","EFNA4","ENSG00000243364","rs11264339","47486834",3e-13,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"535","EFNA4","ENSG00000243364","rs35749011","55249484",2e-70,0.0342,0.6068,"[0.54-0.67]","parkinson's disease","EFO_0002508"
"536","EFNA4","ENSG00000243364","rs4845703","55715867",4e-12,NA,NA,NA,"BMI-adjusted waist-hip ratio","EFO_0007788"
"537","EFNA4","ENSG00000243364","rs57742792","55309423",4e-11,NA,0.01,NA,"optic disc size measurement","EFO_0004832"
"538","EFNA4","ENSG00000243364","rs34455078","49506134",6e-06,0.042001776,0.09246136,"[0.01-0.175]","cognitive function measurement","EFO_0008354"
"539","EFNA4","ENSG00000243364","rs8191979","61937305",4e-23,NA,0.061,NA,"hemoglobin measurement","EFO_0004509"
"540","EFNA4","ENSG00000243364","rs4971079","24297561",3e-10,NA,NA,NA,"ankylosing spondylitis, crohn's disease, psoriasis, sclerosing cholangitis, ulcerative colitis","EFO_0003898, EFO_0000384, EFO_0000676, EFO_0004268, EFO_0000729"
"541","EFNA4","ENSG00000243364","rs11264296","64200257",9e-10,0.0022491175,0.0137743475,"[0.0094-0.0182]","eosinophil count","EFO_0004842"
"542","EFNA4","ENSG00000243364","rs2242195","36058678",1e-08,NA,NA,NA,"body mass index","EFO_0004340"
"543","EFNA4","ENSG00000243364","rs72702268","63319807",4e-17,0.0063,0.0531,"[0.041-0.065]","appendicular lean mass","EFO_0004980"
"544","EFNA4","ENSG00000243364","rs12904","64675961",1e-30,NA,11.5,NA,"serum alanine aminotransferase measurement","EFO_0004735"
"545","EFNA4","ENSG00000243364","rs4460629","25389601",4e-14,0.018,0.136,"[0.10-0.17]","magnesium measurement","EFO_0004845"
"546","EFNA4","ENSG00000243364","rs74520550","41136945",1e-32,NA,NA,NA,"body height","EFO_0004339"
"547","EFNA4","ENSG00000243364","rs113405739","64194681",4e-24,0.0066370904,0.06720668,"[0.054-0.08]","hematocrit","EFO_0004348"
"548","EFNA4","ENSG00000243364","rs6676150","47759570",5e-11,0.054,0.356,"[0.25-0.46]","glomerular filtration rate","EFO_0005208"
"549","EFNA4","ENSG00000243364","rs11264323","64398848",2e-11,0.0023098993,0.015460927,"[0.011-0.02]","platelet crit","EFO_0007985"
"550","EFNA4","ENSG00000243364","rs4390169","36095470",4e-15,NA,NA,NA,"hair colour measurement","EFO_0007822"
"551","EFNA4","ENSG00000243364","rs3766918",NA,NA,NA,NA,NA,NA,NA
"552","EFNA4","ENSG00000243364","rs4246529","47885662",2e-08,0.0138,0.0775,"[0.05-0.105]","urate measurement","EFO_0004531"
"553","EFNA4","ENSG00000243364","rs34257409","47785512",2e-15,0.0020197,0.0160895,"[0.012-0.02]","urinary albumin to creatinine ratio","EFO_0007778"
"554","EFNA4","ENSG00000243364","rs140676308","55314420",8e-11,0.0199942,0.130478,"[0.091-0.17]","appendicular lean mass","EFO_0004980"
"555","EFNA4","ENSG00000243364","rs11581730","30561254",3e-17,0.036,0.306,"[0.24-0.38]","digit length ratio","EFO_0004841"
"556","EFNA4","ENSG00000243364","rs569036944","63126487",1e-08,0.034,0.188,"[0.12-0.25]","HbA1c measurement","EFO_0004541"
"557","EFNA4","ENSG00000243364","rs11264302","64668469",3e-08,0.00125682,0.00705795,"[0.0046-0.0095]","gait measurement","EFO_0007680"
"558","EFNA4","ENSG00000243364","rs11589479","36157067",3e-11,0.0025641494,0.01709262,"[0.012-0.022]","risk-taking behaviour","EFO_0008579"
"559","EFNA4","ENSG00000243364","rs11264322","63103581",7e-07,0.002,0.01,"[0.0061-0.0139]","vitamin D measurement","EFO_0004631"
"560","EFNA4","ENSG00000243364","rs147847496","64606631",5e-11,NA,NA,"[1.11-1.22]","prostate carcinoma","EFO_0001663"
"561","EFNA4","ENSG00000243364","rs4440846","45188212",4e-07,0.13,0.64,"[0.39-0.89]","sensory perception of sweet taste","GO_0050916"
"562","EFNA4","ENSG00000243364","rs11264303","64197354",1e-10,0.0022150935,0.014309819,"[0.01-0.0187]","eosinophil percentage of leukocytes","EFO_0007991"
"563","EFNA4","ENSG00000243364","rs4745","63421861",7e-13,0.00555835,0.0396682,"[0.029-0.051]","electrocardiography","EFO_0004327"
"564","EFNA4","ENSG00000243364","rs905938","47690998",2e-36,0.002,0.025,"[0.021-0.029]","BMI-adjusted waist-hip ratio","EFO_0007788"
"565","EFNA4","ENSG00000243364","rs150138294","55715746",2e-17,NA,NA,NA,"BMI-adjusted waist-hip ratio","EFO_0007788"
"566","EFNA4","ENSG00000243364","rs141942982","41133867",1e-20,0.0039,0.0362,"[0.029-0.044]","FEV/FEC ratio","EFO_0004713"
"567","EFNA4","ENSG00000243364","rs7525164","64335711",6e-21,0.0065896413,0.061924275,"[0.049-0.075]","erythrocyte count","EFO_0004305"
"568","EFNA4","ENSG00000243364","rs10908454","63106389",2e-07,0.00203689,0.0106306,"[0.0066-0.0146]","vitamin D measurement","EFO_0004631"
"569","EFNA4","ENSG00000243364","rs1870940","63824425",5e-17,0.00316285,0.0253915,"[0.019-0.032]","testosterone measurement","EFO_0004908"
"570","EFNA4","ENSG00000243364","rs56103503","64606626",2e-14,NA,NA,"[1.04-1.07]","prostate carcinoma","EFO_0001663"
"571","FCRL3","ENSG00000160856","rs2210913","17572275",9e-07,NA,NA,NA,"selective IgA deficiency disease","EFO_1001929"
"572","FCRL3","ENSG00000160856","rs2065883","47657200",4e-21,0.06966,0.65791,"[0.52-0.79]","blood protein measurement","EFO_0007937"
"573","FCRL3","ENSG00000160856","rs11264799","14872273",2e-07,NA,NA,"[1.082-1.191]","IgA glomerulonephritis","EFO_0004194"
"574","FCRL3","ENSG00000160856","rs2785663","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"575","FCRL3","ENSG00000160856","rs2785664","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"576","FCRL3","ENSG00000160856","rs10489676","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"577","FCRL3","ENSG00000160856","rs2785665","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"578","FCRL3","ENSG00000160856","rs12145148","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"579","FCRL3","ENSG00000160856","rs12070820","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"580","FCRL3","ENSG00000160856","rs12123141","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"581","FCRL3","ENSG00000160856","rs1885560","55737585",6e-06,NA,NA,"[1.03-1.09]","cervical carcinoma","EFO_0001061"
"582","FCRL3","ENSG00000160856","rs12743309","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"583","FCRL3","ENSG00000160856","rs3761959","62061512",3e-29,NA,NA,NA,"protein measurement","EFO_0004747"
"584","FCRL3","ENSG00000160856","rs2785662","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"585","FCRL3","ENSG00000160856","rs78950792","62315272",3e-10,NA,0.04157,NA,"protein measurement","EFO_0004747"
